,confirmed,deaths
2020-10-17,0.018345586353944572,0.0018916204690831552
2020-10-18,0.018416204690831564,0.001896524520255863
2020-10-19,0.018485351812366744,0.0019009808102345412
2020-10-20,0.018555415778251604,0.0019053944562899782
2020-10-21,0.018624307036247338,0.0019095309168443491
2020-10-22,0.018695159914712156,0.0019136886993603407
2020-10-23,0.018766481876332626,0.0019178464818763322
2020-10-24,0.018834584221748406,0.001921791044776119
2020-10-25,0.018904477611940303,0.0019256929637526648
2020-10-26,0.01897658848614073,0.0019295522388059698
2020-10-27,0.01904970149253732,0.0019334754797441362
2020-10-28,0.019124712153518127,0.0019373987206823026
2020-10-29,0.019205927505330494,0.0019412579957356075
2020-10-30,0.019287803837953095,0.0019453731343283581
2020-10-31,0.01937168443496802,0.0019496588486140724
2020-11-01,0.019457377398720686,0.001953773987206823
2020-11-02,0.01954667377398721,0.001958102345415778
2020-11-03,0.019640575692963756,0.0019624307036247334
2020-11-04,0.01973840085287847,0.00196682302771855
2020-11-05,0.019834925373134332,0.001971279317697228
2020-11-06,0.019937718550106613,0.001975820895522388
2020-11-07,0.02004754797441365,0.0019804690831556502
2020-11-08,0.020162494669509597,0.001985415778251599
2020-11-09,0.020279061833688702,0.0019904051172707888
2020-11-10,0.0203980170575693,0.001995650319829424
2020-11-11,0.020519658848614078,0.002001087420042644
2020-11-12,0.020648720682302776,0.002006652452025586
2020-11-13,0.0207827078891258,0.0020120469083155647
2020-11-14,0.02091675906183369,0.0020174413646055433
2020-11-15,0.021054264392324096,0.002022793176972281
2020-11-16,0.021195501066098084,0.0020280383795309165
2020-11-17,0.02134490405117271,0.002033304904051172
2020-11-18,0.02149680170575693,0.002038976545842217
2020-11-19,0.02164765458422175,0.002044520255863539
2020-11-20,0.021801961620469084,0.002050554371002132
2020-11-21,0.02195626865671642,0.0020569083155650317
2020-11-22,0.022116695095948827,0.0020633901918976545
2020-11-23,0.022278294243070363,0.0020701066098081024
2020-11-24,0.022436503198294242,0.0020772494669509594
2020-11-25,0.02259695095948827,0.0020845202558635394
2020-11-26,0.02275543710021322,0.00209183368869936
2020-11-27,0.022914392324093816,0.0020989339019189764
2020-11-28,0.02308358208955224,0.0021063539445628997
2020-11-29,0.02324865671641791,0.0021144989339019187
2020-11-30,0.023414605543710023,0.002123496801705757
2020-12-01,0.023576950959488273,0.002132643923240938
2020-12-02,0.023738997867803837,0.0021417697228144988
2020-12-03,0.02390179104477612,0.002151428571428571
2020-12-04,0.024058933901918975,0.0021617057569296373
2020-12-05,0.024205437100213216,0.002172132196162047
2020-12-06,0.024345714285714283,0.0021826226012793175
2020-12-07,0.024485842217484007,0.002192771855010661
2020-12-08,0.024625607675906182,0.0022031982942430704
2020-12-09,0.024762835820895522,0.0022138805970149254
2020-12-10,0.024895820895522388,0.0022246481876332623
2020-12-11,0.02502358208955224,0.0022354797441364606
2020-12-12,0.0251481236673774,0.0022465245202558637
2020-12-13,0.02526844349680171,0.002257313432835821
2020-12-14,0.02537897654584222,0.0022680597014925375
2020-12-15,0.025483411513859276,0.002278358208955224
2020-12-16,0.025580298507462688,0.0022886353944562903
2020-12-17,0.02567778251599147,0.002299040511727079
2020-12-18,0.025773901918976546,0.0023093176972281454
2020-12-19,0.025865607675906184,0.002319147121535182
2020-12-20,0.0259571855010661,0.0023287846481876338
2020-12-21,0.026046460554371004,0.002338443496801706
2020-12-22,0.02613712153518124,0.002348294243070363
2020-12-23,0.026229232409381666,0.0023581876332622606
2020-12-24,0.02631767590618337,0.0023680383795309174
2020-12-25,0.026406439232409384,0.0023776332622601286
2020-12-26,0.02649304904051173,0.0023871215351812373
2020-12-27,0.026577782515991473,0.002396247334754798
2020-12-28,0.02666217484008529,0.002405010660980811
2020-12-29,0.0267480170575693,0.0024138592750533056
2020-12-30,0.026833944562899788,0.0024226652452025593
2020-12-31,0.02692,0.002431194029850747
2021-01-01,0.02700358208955224,0.0024398507462686575
2021-01-02,0.027088784648187633,0.0024484434968017063
2021-01-03,0.027171108742004263,0.002457334754797442
2021-01-04,0.027252153518123667,0.0024662686567164184
2021-01-05,0.02732680170575693,0.0024748187633262266
2021-01-06,0.027396034115138593,0.00248315565031983
2021-01-07,0.02746309168443497,0.0024910447761194035
2021-01-08,0.027526055437100214,0.0024982089552238814
2021-01-09,0.027584733475479746,0.0025050319829424315
2021-01-10,0.027641535181236677,0.002511236673773988
2021-01-11,0.02769620469083156,0.002517057569296376
2021-01-12,0.027748187633262263,0.002522409381663114
2021-01-13,0.0277981236673774,0.002527078891257997
2021-01-14,0.027842921108742008,0.0025316844349680184
2021-01-15,0.027885351812366743,0.002536162046908317
2021-01-16,0.02792469083155651,0.00254038379530917
2021-01-17,0.027961300639658855,0.002544605543710023
2021-01-18,0.02799507462686568,0.0025485501066098096
2021-01-19,0.028025628997867813,0.002552153518123669
2021-01-20,0.02805377398720683,0.002555415778251601
2021-01-21,0.028079701492537322,0.0025585287846481893
2021-01-22,0.028102473347547983,0.0025612793176972297
2021-01-23,0.02812324093816632,0.0025636247334754813
2021-01-24,0.028141300639658858,0.0025655010660980827
2021-01-25,0.028156567164179115,0.0025670362473347564
2021-01-26,0.02816855010660982,0.002568251599147123
2021-01-27,0.02817850746268658,0.002569253731343285
2021-01-28,,
2021-01-29,,
2021-01-30,,
