exp;tau;sigma;rho;delta;gamma1;gamma2;sbeta;order_beta;smu;order_mu;initial_day;final_day;hmax;psi;x0;bounds;algorithm;E0;I0;A0;Q0;S0;R0;D0;T0;alpha;beta;mu;obj;time
11;0.2710027100271003;0.4878048780487803;1e-05;0.01;0.13333333333333333;0.07462686567164178;3;0;4;0;2020-03-16;2020-07-31;0.2;119.57105679155784;[0.9, 0.11, 0.08, 0.08, 0.11, 0.012, 0.012, 0.011, 0.009];[(0.7, 0.95), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02)];L-BFGS-B;0.0003671042794807863;0.0001541564655967726;0.00019710430492684148;7.46234552115694e-05;0.9990277305122481;0.000179238338612712;4.264392324093816e-08;0.0001047334754797;0.7;[0.2        0.16308236 0.05      ];[0.02       0.02       0.00715376 0.005     ];0.0005337318475621576;47.232853412628174
12;0.2710027100271003;0.4878048780487803;1e-05;0.01;0.13333333333333333;0.07462686567164178;3;0;4;1;2020-03-16;2020-07-31;0.2;119.57105679155784;[0.9, 0.11, 0.08, 0.08, 0.11, 0.012, 0.012, 0.011, 0.009];[(0.7, 0.95), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02)];L-BFGS-B;0.0003671042794807863;0.0001541564655967726;0.00019710430492684148;7.46234552115694e-05;0.9990277305122481;0.000179238338612712;4.264392324093816e-08;0.0001047334754797;0.7;[0.2        0.16285252 0.05      ];[0.02       0.02       0.00775362 0.005     ];0.0005391204806150999;22.51837944984436
13;0.2710027100271003;0.4878048780487803;1e-05;0.01;0.13333333333333333;0.07462686567164178;3;0;4;2;2020-03-16;2020-07-31;0.2;119.57105679155784;[0.9, 0.11, 0.08, 0.08, 0.11, 0.012, 0.012, 0.011, 0.009];[(0.7, 0.95), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02)];L-BFGS-B;0.0003671042794807863;0.0001541564655967726;0.00019710430492684148;7.46234552115694e-05;0.9990277305122481;0.000179238338612712;4.264392324093816e-08;0.0001047334754797;0.7;[0.2        0.16137852 0.05      ];[0.02       0.01814417 0.0122376  0.005     ];0.000580244980766468;23.214950799942017
14;0.2710027100271003;0.4878048780487803;1e-05;0.01;0.13333333333333333;0.07462686567164178;3;0;4;3;2020-03-16;2020-07-31;0.2;119.57105679155784;[0.9, 0.11, 0.08, 0.08, 0.11, 0.012, 0.012, 0.011, 0.009];[(0.7, 0.95), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02)];L-BFGS-B;0.0003671042794807863;0.0001541564655967726;0.00019710430492684148;7.46234552115694e-05;0.9990277305122481;0.000179238338612712;4.264392324093816e-08;0.0001047334754797;0.7;[0.2        0.16185068 0.05      ];[0.02       0.01831837 0.01398248 0.005     ];0.0005450236095800563;26.96070957183838
15;0.2710027100271003;0.4878048780487803;1e-05;0.01;0.13333333333333333;0.07462686567164178;3;1;3;0;2020-03-16;2020-07-31;0.2;119.57105679155784;[0.9, 0.11, 0.08, 0.08, 0.11, 0.012, 0.012, 0.011, 0.009];[(0.7, 0.95), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02)];L-BFGS-B;0.0003671042794807863;0.0001541564655967726;0.00019710430492684148;7.46234552115694e-05;0.9990277305122481;0.000179238338612712;4.264392324093816e-08;0.0001047334754797;0.7866413190271413;[0.1828077  0.0500092  0.15265527];[0.01112988 0.01310283 0.00694948];1.8571182762801426e-05;32.51210427284241
16;0.2710027100271003;0.4878048780487803;1e-05;0.01;0.13333333333333333;0.07462686567164178;3;1;3;1;2020-03-16;2020-07-31;0.2;119.57105679155784;[0.9, 0.11, 0.08, 0.08, 0.11, 0.012, 0.012, 0.011, 0.009];[(0.7, 0.95), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02)];L-BFGS-B;0.0003671042794807863;0.0001541564655967726;0.00019710430492684148;7.46234552115694e-05;0.9990277305122481;0.000179238338612712;4.264392324093816e-08;0.0001047334754797;0.7030958861601215;[0.18755005 0.08086395 0.1208034 ];[0.01140299 0.01405602 0.00748078];3.147859389101565e-05;26.348145723342896
17;0.2710027100271003;0.4878048780487803;1e-05;0.01;0.13333333333333333;0.07462686567164178;3;1;3;2;2020-03-16;2020-07-31;0.2;119.57105679155784;[0.9, 0.11, 0.08, 0.08, 0.11, 0.012, 0.012, 0.011, 0.009];[(0.7, 0.95), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02)];L-BFGS-B;0.0003671042794807863;0.0001541564655967726;0.00019710430492684148;7.46234552115694e-05;0.9990277305122481;0.000179238338612712;4.264392324093816e-08;0.0001047334754797;0.7400859150869369;[0.18315063 0.05860729 0.15629154];[0.01299799 0.01394082 0.01096254];1.0753789760778117e-05;39.61296057701111
18;0.2710027100271003;0.4878048780487803;1e-05;0.01;0.13333333333333333;0.07462686567164178;3;1;4;0;2020-03-16;2020-07-31;0.2;119.57105679155784;[0.9, 0.11, 0.08, 0.08, 0.11, 0.012, 0.012, 0.011, 0.009];[(0.7, 0.95), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02)];L-BFGS-B;0.0003671042794807863;0.0001541564655967726;0.00019710430492684148;7.46234552115694e-05;0.9990277305122481;0.000179238338612712;4.264392324093816e-08;0.0001047334754797;0.7023725136968474;[0.18543452 0.07137345 0.15120012];[0.007546   0.01477071 0.01001906 0.00611358];5.6456974095111075e-06;68.75645875930786
19;0.2710027100271003;0.4878048780487803;1e-05;0.01;0.13333333333333333;0.07462686567164178;3;1;4;1;2020-03-16;2020-07-31;0.2;119.57105679155784;[0.9, 0.11, 0.08, 0.08, 0.11, 0.012, 0.012, 0.011, 0.009];[(0.7, 0.95), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02)];L-BFGS-B;0.0003671042794807863;0.0001541564655967726;0.00019710430492684148;7.46234552115694e-05;0.9990277305122481;0.000179238338612712;4.264392324093816e-08;0.0001047334754797;0.7920409836472295;[0.18354625 0.0532388  0.14542463];[0.01070006 0.01448628 0.00975569 0.00827107];1.0871268087794614e-05;63.833505630493164
20;0.2710027100271003;0.4878048780487803;1e-05;0.01;0.13333333333333333;0.07462686567164178;3;1;4;2;2020-03-16;2020-07-31;0.2;119.57105679155784;[0.9, 0.11, 0.08, 0.08, 0.11, 0.012, 0.012, 0.011, 0.009];[(0.7, 0.95), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.05, 0.2), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02), (0.005, 0.02)];L-BFGS-B;0.0003671042794807863;0.0001541564655967726;0.00019710430492684148;7.46234552115694e-05;0.9990277305122481;0.000179238338612712;4.264392324093816e-08;0.0001047334754797;0.7;[0.1856695  0.07272204 0.15035372];[0.01353062 0.01543096 0.01026508 0.00715753];4.797360209803876e-06;37.11026692390442
