seed;obj;alpha;beta;mu;sigmaT;sigmaD;x0
1414;4.718520520706339e-06;0.917452382372207;[0.14560934 0.07083792 0.10058904 0.12750589];[0.01045317 0.01574368 0.01058238 0.00706284];8.708271318331083e-11;6.834493982998669e-13;[0.87995667 0.19350039 0.11111275 0.05459646 0.15307964 0.01335026 0.01256448 0.01002671 0.01805548]
5630;4.775606053095873e-06;0.8955015425705679;[0.14442535 0.07390763 0.09989152 0.12489992];[0.01020426 0.01584052 0.01003564 0.00698903];8.708271318331083e-11;6.834493982998669e-13;[0.90514317 0.09105553 0.09858015 0.07192222 0.1523939  0.00802347 0.0107459  0.00896619 0.00597231]
7058;3.988769313368294e-06;0.9063508225404725;[0.14421283 0.07197071 0.10073487 0.12640291];[0.01038471 0.0161391  0.01028912 0.00684327];8.708271318331083e-11;6.834493982998669e-13;[0.77580846 0.10737766 0.164865   0.11918645 0.07468179 0.01256609 0.01520406 0.00676813 0.00619067]
4491;5.266235519297615e-06;0.8951637500629441;[0.1424274  0.07304556 0.10334394 0.12759567];[0.00968071 0.01603342 0.01004237 0.00673312];8.708271318331083e-11;6.834493982998669e-13;[0.90580428 0.18270384 0.07081    0.1904705  0.11137732 0.01321958 0.00773925 0.00733197 0.01905858]
6297;4.1128843127706305e-06;0.8664317631967106;[0.14264343 0.0756979  0.09920168 0.12551162];[0.00945828 0.01633941 0.00995923 0.00687923];8.708271318331083e-11;6.834493982998669e-13;[0.81801254 0.09080418 0.19591715 0.12428942 0.08386272 0.01795865 0.01557403 0.00962723 0.01417027]
7744;3.6440540108271935e-06;0.8977203056665696;[0.14318237 0.07141543 0.09872594 0.12566445];[0.0096679  0.01589481 0.01067421 0.00714721];8.708271318331083e-11;6.834493982998669e-13;[0.84945782 0.10068794 0.16335279 0.18097251 0.14728133 0.01418935 0.01765362 0.01290095 0.00611005]
666;4.504203739216561e-06;0.9097598206762622;[0.1447308  0.07182033 0.10076375 0.12702976];[0.01061541 0.01566641 0.01051625 0.00709572];8.708271318331083e-11;6.834493982998669e-13;[0.78804196 0.06388276 0.07791846 0.12414724 0.18741645 0.00800714 0.01729165 0.01067725 0.01865235]
1631;4.79216212570957e-06;0.9077555132944154;[0.14594888 0.07301314 0.09930246 0.12524711];[0.01017039 0.0155655  0.01043783 0.00749054];8.708271318331083e-11;6.834493982998669e-13;[0.86536119 0.15267727 0.17008537 0.19483122 0.06542675 0.01654343 0.00799967 0.01216995 0.01817176]
3951;4.975818177961725e-06;0.8937964057393292;[0.14223381 0.07248149 0.10244709 0.12678791];[0.00985285 0.01609824 0.01048596 0.00700158];8.708271318331083e-11;6.834493982998669e-13;[0.86377053 0.1792532  0.15976728 0.05169219 0.10732811 0.01831489 0.00810448 0.01126195 0.01907879]
1080;4.353384903919226e-06;0.8895144488434604;[0.14453526 0.07402319 0.09789144 0.12467102];[0.00994669 0.01556295 0.01046698 0.0069524 ];8.708271318331083e-11;6.834493982998669e-13;[0.90187251 0.19506837 0.17354253 0.06148676 0.062901   0.01403914 0.00837246 0.00855629 0.00501724]
5640;4.193879534290272e-06;0.8942046066043904;[0.14336203 0.07288026 0.10036706 0.12621153];[0.01001456 0.0160939  0.010483   0.00706891];8.708271318331083e-11;6.834493982998669e-13;[0.79417098 0.1804689  0.16282733 0.18969164 0.14079307 0.01806744 0.01208161 0.01416175 0.01682233]
1308;4.323676003696274e-06;0.9033491421166883;[0.14543569 0.0739749  0.09953429 0.12567319];[0.01015692 0.01599039 0.00992365 0.00687926];8.708271318331083e-11;6.834493982998669e-13;[0.72495455 0.19503373 0.1501954  0.15367793 0.16672867 0.01060594 0.00780524 0.01057758 0.01760841]
2924;4.742832318038253e-06;0.8875395538578769;[0.14411524 0.07404091 0.0980724  0.12436888];[0.00999187 0.01586706 0.01039723 0.00689658];8.708271318331083e-11;6.834493982998669e-13;[0.70421637 0.11588822 0.10670532 0.0907313  0.06892066 0.01434371 0.0119817  0.01626086 0.00657773]
6567;4.487155385436328e-06;0.8998369987238607;[0.14363229 0.07323527 0.10189319 0.12661408];[0.01054413 0.0160082  0.01037576 0.00697077];8.708271318331083e-11;6.834493982998669e-13;[0.86894618 0.14079982 0.19319582 0.09332762 0.06175068 0.01041853 0.01072782 0.0139509  0.01101042]
734;5.354704216429116e-06;0.841152606469233;[0.14427267 0.07982157 0.09866509 0.12403258];[0.00933096 0.01590194 0.01051611 0.00717114];8.708271318331083e-11;6.834493982998669e-13;[0.84331586 0.13728894 0.1528569  0.07875415 0.18488481 0.01230067 0.01290566 0.01834658 0.01602998]
4891;4.324088305267307e-06;0.9052027842807264;[0.14582345 0.07382702 0.09975638 0.12493919];[0.01004717 0.01561882 0.01010723 0.00689493];8.708271318331083e-11;6.834493982998669e-13;[0.84068663 0.06445994 0.15149463 0.10180206 0.19698419 0.01798016 0.01613877 0.01893504 0.0115823 ]
